"post_url","date","tags","type","misc","misc"
"http://thenewzeitgeist.tumblr.com/post/75821458608/craig-f-aa-speaker-laughter-is-the-sound","2014-02-06 20:16:20 GMT","[u'AA Speaker', u'AA convention', u'Alcohilics Anonymous', u'Laughter']","video","<h1 class=""yt"" id=""watch-headline-title""><span class=""watch-title long-title yt-uix-expander-head"" id=""eow-title"" title='Craig F. - AA Speaker - ""Laughing is the Sound Effect of Recovery"" (Funny!)'>Craig F. - AA Speaker </span></h1>
<p><span class=""watch-title long-title yt-uix-expander-head"" title='Craig F. - AA Speaker - ""Laughing is the Sound Effect of Recovery"" (Funny!)'>Laughter is the Sound Effect of Recovery</span></p>","[{u'width': 250, u'embed_code': u'<iframe width=""250"" height=""187""  id=""youtube_iframe"" src=""https://www.youtube.com/embed/qFRVIIQdHD0?feature=oembed&amp;enablejsapi=1&amp;origin=http://safe.txmblr.com&amp;wmode=opaque"" frameborder=""0"" allowfullscreen></iframe>'}, {u'width': 400, u'embed_code': u'<iframe width=""400"" height=""300""  id=""youtube_iframe"" src=""https://www.youtube.com/embed/qFRVIIQdHD0?feature=oembed&amp;enablejsapi=1&amp;origin=http://safe.txmblr.com&amp;wmode=opaque"" frameborder=""0"" allowfullscreen></iframe>'}, {u'width': 500, u'embed_code': u'<iframe width=""500"" height=""375""  id=""youtube_iframe"" src=""https://www.youtube.com/embed/qFRVIIQdHD0?feature=oembed&amp;enablejsapi=1&amp;origin=http://safe.txmblr.com&amp;wmode=opaque"" frameborder=""0"" allowfullscreen></iframe>'}]"
"http://amatthew79.tumblr.com/post/48452107788/angie-p-from-cincinnati-oh","2013-04-20 17:41:00 GMT","[u'Angie P', u'Founders Day', u'AA', u'AA Speaker', u'Alcoholism', u'Recovery', u'Addiction', u'Experience', u'Strength', u'Hope']","link","Angie P from Cincinnati, OH","http://podcast.aaspeakerspassiton.com/2011/04/08/angie-p-from-cincinnati-oh-speaking-at-founders-day-2008/"
"http://thepakmedia.tumblr.com/post/132605519330/pti-nominates-shafqat-mehmood-to-contest-na","2015-11-05 16:06:48 GMT","[u'NA Speaker', u'PTI', u'Shafqat Mehmood']","text","PTI Nominates Shafqat Mehmood to Contest NA Speaker Election","<p><a href=""http://www.thepakmedia.com/pti-nominates-shafqat-mehmood-contest-speaker-election/2015/11/05"" target=""_blank"">PTI Nominates Shafqat Mehmood to Contest NA Speaker Election</a></p><blockquote><p><strong>ISLAMABAD –</strong> Pakistan Tehreek-e-Insaf (PTI) on Thursday announced its unanimous candidate for National Assembly (NA) Speaker election, <em><strong>Shafqat Mehmood</strong></em>.</p>
<p>According to details, PTI’s parliamentary party’s session took place in Islamabad after which, party’s national organizer Shah Mehmood Qureshi said while talking to the media that other parties will also be contacted for support in the election.</p>
<p>He…</p></blockquote><p><a href=""http://www.thepakmedia.com/pti-nominates-shafqat-mehmood-contest-speaker-election/2015/11/05"" target=""_blank"">View On WordPress</a></p>"
"http://soberslothling.tumblr.com/post/140584597174/i-am-in-recovery-because-even-though-today-was","2016-03-06 20:28:24 GMT","[u'aa', u'alcohol', u'alcoholic', u'alcoholism', u'Alcoholics Anonymous', u'addiction', u'addict', u'drug addict', u'addiction support', u'drug addiction', u'sober', u'sobriety', u'sober thoughts', u'soberliving', u'SOBERLIFE', u'abuse', u'drug abuse', u'substance abuse', u'recovery', u'recover', u'recovery quotes', u'early recovery']","photo","[{u'caption': u'', u'original_size': {u'url': u'http://41.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_1280.jpg', u'width': 1080, u'height': 1080}, u'alt_sizes': [{u'url': u'http://41.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_1280.jpg', u'width': 1080, u'height': 1080}, {u'url': u'http://41.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_500.jpg', u'width': 500, u'height': 500}, {u'url': u'http://41.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_400.jpg', u'width': 400, u'height': 400}, {u'url': u'http://41.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_250.jpg', u'width': 250, u'height': 250}, {u'url': u'http://40.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_100.jpg', u'width': 100, u'height': 100}, {u'url': u'http://40.media.tumblr.com/6bd8cacb0a0a7f6638442d7cf76e2192/tumblr_o3mwvc4Kyh1snq7wgo1_75sq.jpg', u'width': 75, u'height': 75}]}]","<p>I am in recovery because even though  today was hard I am still choosing to be here tomorrow.</p>"
"http://bsober.tumblr.com/post/140562187958/daily-recovery-readings-march-6th","2016-03-06 12:51:03 GMT","[u'12 Step', u'AA', u'Addiction', u'addiction recovery', u'Alcoholics Anonymous', u'Recovery', u'Relapse', u'sobriety']","text","Daily Recovery Readings-March 6th","<p><a href=""http://bsober.org/daily-recovery-readings-march-6th/"" target=""_blank"">Daily Recovery Readings-March 6th</a></p><img src=""http://bsober.org/wp-content/uploads/2013/12/Make-it-happen.jpg"" style=""float: right; width:200px; padding:10px;""/><blockquote><p>Daily Recovery Readings-March 6th</p>
<p>Daily Reflections</p>
<p>THE IDEA OF FAITH</p>
<p>Do not let any prejudice you might have against<br/>
spiritual terms deter you from honestly asking yourself<br/>
what they mean to you.<br/>
ALCOHOLICS ANONYMOUS, p. 47</p>
<p>The idea of faith is a very large chunk to swallow when<br/>
fear, doubt and anger abound in and around me. Sometimes<br/>
just the idea of doing something different, something I<br/>am not…</p></blockquote><p><a href=""http://bsober.org/daily-recovery-readings-march-6th/"" target=""_blank"">View On WordPress</a></p><div style=""clear:both;""></div>"
"http://feelingandlovingtoomuch.tumblr.com/post/140550808474/i-went-to-gratitude-day-for-aa-today-it-was-so","2016-03-06 06:44:30 GMT","[u'AA', u'alcohlism', u'alcoholics anonymous', u'Gratitude day', u'happy', u'recovery', u'addiction']","text","","<p>I went to gratitude day for AA today. It was so beautiful. I&rsquo;m so grateful to be a part of such an amazing fellowship. Holy smokes. I also danced for the first time sober since I was 12 !!! Holy shit what a total change in perspective.</p>"
"http://bsober.tumblr.com/post/140498827033/daily-recovery-readings-march-5th","2016-03-05 11:47:34 GMT","[u'12 Step', u'AA', u'Addiction', u'addiction recovery', u'Alcoholics Anonymous', u'Recovery', u'Relapse', u'sobriety']","text","Daily Recovery Readings-March 5th","<p><a href=""http://bsober.org/daily-recovery-readings-march-5th/"" target=""_blank"">Daily Recovery Readings-March 5th</a></p><img src=""http://bsober.org/wp-content/uploads/2013/12/Make-it-happen.jpg"" style=""float: right; width:200px; padding:10px;""/><blockquote><p>Daily Recovery Readings-March 5th</p>
<p>Daily Reflections</p>
<p>A LIFELONG TASK</p>
<p>“But just how, in these circumstances, does a fellow ‘take it easy?’<br/>
That’s what I want to know.”<br/>
TWELVE STEPS AND TWELVE TRADITIONS, p. 26</p>
<p>I was never known for my patience. How many times have I asked,<br/>
“Why should I wait, when I can have it all right now?” Indeed, when<br/>I was first presented the Twelve Steps, I was like the…</p></blockquote><p><a href=""http://bsober.org/daily-recovery-readings-march-5th/"" target=""_blank"">View On WordPress</a></p><div style=""clear:both;""></div>"
"http://soberslothling.tumblr.com/post/140493927119/experiencing-sobriety","2016-03-05 08:38:28 GMT","[u'aa', u'alcohol', u'alcoholic', u'alcoholism', u'Alcoholics Anonymous', u'sober', u'sobriety', u'sober thoughts', u'soberliving', u'SOBERLIFE', u'recovery', u'recover', u'recovery quotes', u'early recovery', u'addiction', u'addict', u'drug addict', u'addiction support', u'drug addiction', u'drugs', u'drug', u'drug abuse', u'substance abuse', u'aboriginal', u'native', u'rave', u'club', u'booze', u'drunk']","text","Experiencing Sobriety","<p>So I did the craziest thing tonight. I went to the club. I decided to use this as a pre-trial before next weekends big rave! I went with friends that don’t drink and that know about my recovery. I had a blast!!!! I LOVE and have missed dancing and EDM music so much! I had no cravings to drink tonight! I was so focused on having fun with my friends!</p><p>Things I noticed that I’ve never noticed before while dancing sober:</p><p>- I dance better sober</p><p>- The lights and fog machines are so fun to watch</p><p>- the music sounds better </p><p>- drunk people look so&hellip; turned off. they look totally weird. I felt so alive compared to them. </p><p>- drunk people are annoying. they spill their drinks all over the place.. they flail around and fall down. </p><p>Honestly I was so turned off of alcohol tonight just watching the drunk people all around me. I watched a young lady puke all over the sidewalk and watched the police pull up and drive her off to the drunk tank. Most of the people will wake up dehydrated and extremely hungover. Wondering how they ended up in a stranger’s bed. Regretting how much money they spent and the foolish choices that were made. </p><p>Tonight made me SOOO thankful to be sober. I will wake up with no hangover ready to face another day! Thank you God for allowing me to experience sobriety! </p>"
"http://powerless-over-alcohol.tumblr.com/post/140479240125/second-vivitrol-injection-done","2016-03-05 02:31:03 GMT","[u'recovery', u'alcoholics anonymous', u'sobriety', u'drug addiction', u'alcoholism', u'12steps', u'sober']","text","Second Vivitrol injection done!","<p>So I haven&rsquo;t been posting as much and that needs to change so I&rsquo;m going to try and be better at it from now on!</p>

<p>I got my second injection yesterday. The injection is supposed to help with alcohol cravings and if you do drink, you won&rsquo;t get that same buzz feeling. </p>

<p>I think for the most part it does help but once it starts to wear off, I&rsquo;ve noticed my cravings increase. I have to be careful during this time because I notice I seek other ways to fill that void that I felt alcohol filled when I was actively using.</p>

<p>I just have to keep at it. One day at a time.</p>"
"http://meemagnum.tumblr.com/post/140468689123/new-post-has-been-published-on-the-chinese-quest","2016-03-04 22:38:28 GMT","[u'12 step programs', u'12 steps', u'AA', u'acceptance', u'Alcoholics Anonymous', u'Chinese food anonymous', u'humor', u'satire', u'Chop Suey', u'Humor']","text","New Post has been published on The Chinese Quest","<p>New Post has been published on <a href=""http://www.thechinesequest.com/2016/03/admit-powerless-chinese-food/"">http://www.thechinesequest.com/2016/03/admit-powerless-chinese-food/</a></p><blockquote><p><strong>I Admit It&hellip; I AM Powerless Over Chinese Food!</strong></p><p><img src=""http://www.thechinesequest.com/wp-content/uploads/2016/03/12-steps.jpg""/></p><div data-animation=""tada"" data-icons-animation=""pulse"" data-overlay=""on"" data-change-size="""" data-button-size=""1.5"" style=""font-size:1.5em;display:none;"" class=""supsystic-social-sharing supsystic-social-sharing-package-flat supsystic-social-sharing-spacing supsystic-social-sharing-content supsystic-social-sharing-content-align-center""><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter facebook"" target=""_blank"" title=""Facebook"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439"" data-nid=""1"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-facebook""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter twitter"" target=""_blank"" title=""Twitter"" href=""https://twitter.com/share?url=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439&amp;text=I+Admit+It%26%238230%3B+I+AM+Powerless+Over+Chinese+Food%21"" data-nid=""2"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-twitter""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter googleplus"" target=""_blank"" title=""Google+"" href=""https://plus.google.com/share?url=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439"" data-nid=""3"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-google-plus""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter pinterest"" target=""_blank"" title=""Pinterest"" href=""http://pinterest.com/pin/create/link/?url=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439"" data-nid=""7"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-pinterest""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter like"" target=""_blank"" title=""Like"" href=""#"" data-nid=""5"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-heart""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter print"" target=""_blank"" title=""Print"" href=""#"" data-nid=""14"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-print""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter mail"" target=""_blank"" title=""Mail"" href=""#"" data-nid=""16"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-paper-plane""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a></div><input type=""hidden"" value="""" data-frizzlypostcontainer="""" data-frizzlyposturl=""http://www.thechinesequest.com/?p=8439"" data-frizzlyposttitle=""I Admit It… I AM Powerless Over Chinese Food!"" data-frizzlyhovercontainer=""""><p style=""text-align: left;""><span style=""font-size: 12pt;"">Gotta face the truth.  Admit it.  You ARE addicted to Chinese Food.  Don’t worry.  The Chinese Quest can help you cope with this debilitating “disease”.  </span></p>
<p style=""text-align: left;""><span style=""font-size: 12pt;"">My name is Mee Magnum and I am a Chinese Food-aholic. But today, I’m going to be your guide to salvation.  All you have to do is just follow along with OUR 12 Step road to recovery:</span></p>
<h3 style=""text-align: center;"">Chinese Food Anonymous – Twelve Steps</h3>
<p><a href=""http://www.thechinesequest.com/wp-content/uploads/2016/03/12-steps.jpg"" rel=""attachment wp-att-8441""><img class=""aligncenter size-full wp-image-8441 frizzly-group-8439"" src=""http://www.thechinesequest.com/wp-content/uploads/2016/03/12-steps.jpg"" alt=""12-steps"" width=""660"" height=""527"" srcset=""http://www.thechinesequest.com/wp-content/uploads/2016/03/12-steps-300x240.jpg 300w, http://www.thechinesequest.com/wp-content/uploads/2016/03/12-steps.jpg 660w"" sizes=""(max-width: 660px) 100vw, 660px"" data-frizzlyimagedescription="""" data-frizzlyimagecaption=""""/></a></p>
<p><span style=""font-size: 12pt;""><strong>STEP 1:  </strong>We admitted we were powerless over our Chinese food addiction – that our lives had become unmanageable<em>, though our lives have become extraordinarily delicious.  And nutritious!</em></span></p>
<p><span style=""font-size: 12pt; line-height: 1.5;""><strong>STEP 2:  </strong>Came to believe that a Power greater than ourselves could restore us to sanity. </span><em style=""font-size: 12pt; line-height: 1.5;"">That along with the 20% of coupons we periodically receive in the mail and what we find online.</em></p>
<p><span style=""font-size: 12pt;""><strong>STEP 3:  </strong>Made a decision to turn our will and our lives over to the care of the Chinese Chef-God as we understood Chinese Chef-God.  <em>Oh mighty Chef, how we put our trust, and our palates, in thee.</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 4:  </strong>Made a searching and fearless moral inventory of ourselves<em>, through a thorough reading of your menus, and through personal requests, neigh, pleas, to your extraordinary culinary talents.</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 5:  </strong>Admitted to the Chinese Chef-God, to ourselves, and to another human being the exact nature of our wrongs<em>… and then invited them to dine with us.</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 6:  </strong>We are entirely ready to have the Chinese Chef-God remove all these defects of character.  <em>For, as we all know, an hour from now we’d be hungry again anyways, and there would be no one around then to stop us from gorging our bulging tummies from yet another gastronomical orgy.</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 7:  </strong>Humbly asked God to remove our shortcomings. <em>And our dirty, empty, plates, so we can fill them once again with more of your Chinese Chef-God offerings, which we eagerly, and hungrily, accept.  And devour!</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 8:  </strong>Made a list of all persons we had harmed and became willing to make amends to them all<em>… by inviting them to break bread with us on our next Chinese Quest!</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 9:  </strong>Made direct amends to such people wherever possible, except when to do so would injure them or others<em>… especially if they were full.  Or, morbidly obese.</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 10:  </strong>Continued to take personal inventory and when we were wrong promptly admitted it.  <em>I admit it.  I have a fever and there’s only one cure.  I gotta have more Chinese food!</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 11:  </strong>Sought through prayer and meditation to improve our conscious contact with Chinese Chef-God as we understood Chinese Chef-God, praying only for knowledge of God’s will for us and the power to carry that out. <em> Ommmmmmay I have some more, please?</em></span></p>
<p><span style=""font-size: 12pt;""><strong>STEP 12:  </strong>Having had a spiritual awakening as the result of these steps, we tried to carry this message to other Chinese food addicts, and to practice these principles in all our affairs.  <em>The message is clear.  You must share this URL:  <a href=""http://www.thechinesequest.com"">http://www.thechinesequest.com</a> with everyone in your address book.  You must insist that they subscribe to the blog; and, <a href=""http://www.facebook.com/thechinesequest"" target=""_blank"">LIKE them on Facebook</a>, <a href=""http://www.twitter.com/thechinesequest"" target=""_blank"">FOLLOW them on Twitter</a>, and post comments, as penance, on every article read on said blog.  </em></span></p>
<p><a href=""http://www.thechinesequest.com/wp-content/uploads/2016/03/welcome-to-acceptance.jpg"" rel=""attachment wp-att-8442""><img class=""aligncenter size-full wp-image-8442 frizzly-group-8439"" src=""http://www.thechinesequest.com/wp-content/uploads/2016/03/welcome-to-acceptance.jpg"" alt=""welcome-to-acceptance"" width=""660"" height=""477"" srcset=""http://www.thechinesequest.com/wp-content/uploads/2016/03/welcome-to-acceptance-300x217.jpg 300w, http://www.thechinesequest.com/wp-content/uploads/2016/03/welcome-to-acceptance.jpg 660w"" sizes=""(max-width: 660px) 100vw, 660px"" data-frizzlyimagedescription="""" data-frizzlyimagecaption=""""/></a></p>
<p><span style=""font-size: 12pt;"">Only then can you come to the enlightened realization that:</span></p>
<ul><li><span style=""font-size: 12pt;"">It is ok to love Chinese food.</span></li>
<li><span style=""font-size: 12pt;"">It is ok to go out with friends to enjoy Chinese food.</span></li>
<li><span style=""font-size: 12pt;"">It is ok to take out Chinese food, and enjoy it in the privacy of your own home, without shame, remorse, or regret.</span></li>
</ul><p><span style=""font-size: 12pt;"">Humbly submitted for your consumption,</span></p>
<p><span style=""font-size: 12pt;"">—<span style=""font-family: 'Chow Fun';"">Mee Magnum</span>  (<em>“Chop!  Chop!”</em>)</span></p>
<p><em><strong><span style=""color: #008080;""><span style=""font-size: 12pt;"">Please share this article if you enjoyed it, or if you know someone similarly afflicted</span></span></strong><span style=""color: #008080;""><span style=""font-size: 12pt;""> </span></span><a style=""color: #008080; font-size: 12pt;"" href=""http://www.thechinesequest.com/wp-content/uploads/2015/07/click-to-share.gif""><img class="" size-full wp-image-5446 alignnone frizzly-group-8439"" style=""vertical-align: top;"" src=""http://www.thechinesequest.com/wp-content/uploads/2015/07/click-to-share.gif"" alt=""click-to-share"" width=""48"" height=""36"" data-frizzlyimagedescription="""" data-frizzlyimagecaption=""""/></a></em></p>
<div data-animation=""tada"" data-icons-animation=""pulse"" data-overlay=""on"" data-change-size="""" data-button-size=""1.5"" style=""font-size:1.5em;display:none;"" class=""supsystic-social-sharing supsystic-social-sharing-package-flat supsystic-social-sharing-spacing supsystic-social-sharing-content supsystic-social-sharing-content-align-center""><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter facebook"" target=""_blank"" title=""Facebook"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439"" data-nid=""1"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-facebook""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter twitter"" target=""_blank"" title=""Twitter"" href=""https://twitter.com/share?url=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439&amp;text=I+Admit+It%26%238230%3B+I+AM+Powerless+Over+Chinese+Food%21"" data-nid=""2"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-twitter""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter googleplus"" target=""_blank"" title=""Google+"" href=""https://plus.google.com/share?url=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439"" data-nid=""3"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-google-plus""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter pinterest"" target=""_blank"" title=""Pinterest"" href=""http://pinterest.com/pin/create/link/?url=http%3A%2F%2Fwww.thechinesequest.com%2F%3Fp%3D8439"" data-nid=""7"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-pinterest""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter like"" target=""_blank"" title=""Like"" href=""#"" data-nid=""5"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-heart""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter print"" target=""_blank"" title=""Print"" href=""#"" data-nid=""14"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-print""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a><a class=""social-sharing-button sharer-flat sharer-flat-3 counter-standard without-counter mail"" target=""_blank"" title=""Mail"" href=""#"" data-nid=""16"" data-pid=""1"" data-post-id=""8439"" data-url=""http://www.thechinesequest.com/wp-admin/admin-ajax.php"" data-action=""""><i class=""fa fa-fw fa-paper-plane""></i><div class=""counter-wrap standard""><span class=""counter"">0</span></div></a></div></blockquote>"
